Session Date,Start Time,End Time,Site,User,Game Type,Starting Sc Balance,Ending Sc Balance,Sc Change,Freebies Detected,Dollar Value,Status,Notes,Basis Bonus,Gameplay Pnl,Total Taxable,End Date,Processed,Ending Redeemable Sc,Starting Redeemable Sc,Session Basis,Expected Start Total Sc,Expected Start Redeemable Sc,Inferred Start Total Delta,Inferred Start Redeemable Delta,Delta Total,Delta Redeem,Net Taxable Pl,Basis Consumed,Game Name,Wager Amount,Rtp
2026-01-04,00:30:00,01:07:00,Pulsz Bingo,fooyay,Table Games,489.9,500.2,10.300000000000011,0.0,10.300000000000011,Closed,,,,70.66999999999996,2026-01-04,1,500.2,189.4,0.0,489.9,189.4,0.0,0.0,10.300000000000011,310.79999999999995,70.66999999999996,240.13,,,
2025-12-02,01:50:00,03:00:00,Lonestar,mrs. fooyay,Slots,2413.22,1412.69,-1000.5299999999997,300.0300000000002,-1000.5299999999997,Closed,,,,-687.2799999999997,2025-12-02,1,1412.69,0.0,2099.97,2400.0,0.0,13.2199999999998,0.0,-1000.5299999999997,1412.69,-687.2799999999997,2099.97,,,
2026-01-04,20:50:00,20:56:00,Moonspin,fooyay,Slots,375.62,381.6,5.980000000000018,5.009999999999991,5.980000000000018,Closed,,,,10.99000000000002,,1,381.6,350.62,19.99,375.62,350.62,0.0,0.0,5.980000000000018,30.980000000000018,10.99000000000002,19.99,,,
2026-01-05,10:15:00,08:00:00,Stake,fooyay,Table Games,2562.01,2381.58,-180.4300000000003,6.25,-180.4300000000003,Closed,,,,-118.42000000000007,2026-01-06,1,2381.58,55.76,2500.0,2506.25,0.0,55.76000000000022,55.76,-180.4300000000003,2325.8199999999997,-118.42000000000007,2500.0,,,
2026-01-05,10:25:00,08:10:00,Stake,mrs. fooyay,Table Games,2507.25,2373.14,-134.11000000000013,7.25,-134.11000000000013,Closed,,,,-126.86000000000013,2026-01-06,1,2373.14,1.0,2500.0,2506.25,0.0,1.0,1.0,-134.11000000000013,2372.14,-126.86000000000013,2500.0,,,
2026-01-05,10:55:00,11:10:00,Legendz,fooyay,Slots,220.0,210.0,-10.0,7.110000000000014,-10.0,Closed,Aloha King Elvis,,,4.219999999999999,,1,210.0,0.0,205.78,220.0,0.0,0.0,0.0,-10.0,210.0,4.219999999999999,205.78,,,
2026-01-05,11:45:00,20:30:00,Modo,mrs. fooyay,Table Games,300.6,313.45,12.849999999999966,40.629999999999995,12.849999999999966,Closed,,,,53.48000000000002,2026-01-05,1,313.45,0.0,259.96999999999997,300.0,0.0,0.6000000000000227,0.0,12.849999999999966,313.45,53.48000000000002,259.96999999999997,,,
2026-01-05,12:12:00,20:45:00,Golden Hearts,fooyay,Table Games,280.9,289.0,8.100000000000023,30.899999999999977,8.100000000000023,Closed,,,,39.0,,1,289.0,0.0,250.0,280.5,0.0,0.39999999999997726,0.0,8.100000000000023,289.0,39.0,250.0,,,
2026-01-05,21:00:00,21:10:00,Moonspin,fooyay,Slots,421.6,411.44,-10.160000000000025,5.009999999999991,-10.160000000000025,Closed,,,,-5.150000000000027,2026-01-05,1,411.44,381.6,34.99,421.6,381.6,0.0,0.0,-10.160000000000025,29.839999999999975,-5.150000000000027,34.99,,,
2026-01-06,08:22:00,08:23:00,Stake,mrs. fooyay,Other,2305.0,2305.0,0.0,2305.0,0.0,Closed,Stake Plat IV Bonus,,,2305.0,2026-01-06,1,2305.0,2305.0,0.0,0.0,0.0,2305.0,2305.0,0.0,0.0,2305.0,0.0,,,
